"nomAlgo","heuristique","nomFichier","numInstance","score","tempsChemin","tempsCalcul","nbSommetsGraphe","nbSommetsParcourus"
"Dijsktra",aucune,./src/resources/graphes/g/gAlea116.g,0,0.013,692.865,1242.432,13456,10715
"A*",Manhattan,./src/resources/graphes/g/gAlea116.g,0,0.109,698.865,334.371,13456,1378
"A*",euclidienne,./src/resources/graphes/g/gAlea116.g,0,0.021,692.865,1495.942,13456,6950
"Dijsktra",aucune,./src/resources/graphes/g/gAlea117.g,0,0.013,185.108,1491.766,13689,10881
"A*",Manhattan,./src/resources/graphes/g/gAlea117.g,0,0.782,186.522,54.966,13689,179
"A*",euclidienne,./src/resources/graphes/g/gAlea117.g,0,0.048,185.108,694.558,13689,2894
"Dijsktra",aucune,./src/resources/graphes/g/gAlea118.g,0,0.013,196.007,1312.668,13924,11166
"A*",Manhattan,./src/resources/graphes/g/gAlea118.g,0,0.659,202.108,67.884,13924,229
"A*",euclidienne,./src/resources/graphes/g/gAlea118.g,0,0.044,196.007,748.362,13924,3214
"Dijsktra",aucune,./src/resources/graphes/g/gAlea119.g,0,0.013,680.522,1368.531,14161,11323
"A*",Manhattan,./src/resources/graphes/g/gAlea119.g,0,0.715,689.108,63.689,14161,214
"A*",euclidienne,./src/resources/graphes/g/gAlea119.g,0,0.041,680.522,891.827,14161,3519
"Dijsktra",aucune,./src/resources/graphes/g/gAlea12.g,0,0.165,52.355,0.743,144,91
"A*",Manhattan,./src/resources/graphes/g/gAlea12.g,0,0.714,52.355,0.251,144,21
"A*",euclidienne,./src/resources/graphes/g/gAlea12.g,0,0.385,52.355,0.716,144,39
"Dijsktra",aucune,./src/resources/graphes/g/gAlea120.g,0,0.013,685.108,1347.937,14400,11550
"A*",Manhattan,./src/resources/graphes/g/gAlea120.g,0,0.698,693.936,64.400,14400,225
"A*",euclidienne,./src/resources/graphes/g/gAlea120.g,0,0.038,685.108,1116.715,14400,3961
"Dijsktra",aucune,./src/resources/graphes/g/gAlea121.g,0,0.013,719.614,1396.697,14641,11736
"A*",Manhattan,./src/resources/graphes/g/gAlea121.g,0,0.301,723.371,155.099,14641,511
"A*",euclidienne,./src/resources/graphes/g/gAlea121.g,0,0.028,719.614,1316.781,14641,5385
"Dijsktra",aucune,./src/resources/graphes/g/gAlea122.g,0,0.013,231.785,1456.226,14884,11864
"A*",Manhattan,./src/resources/graphes/g/gAlea122.g,0,0.022,241.543,1847.299,14884,7363
"A*",euclidienne,./src/resources/graphes/g/gAlea122.g,0,0.014,231.785,2255.173,14884,10925
"Dijsktra",aucune,./src/resources/graphes/g/gAlea123.g,0,0.010,706.007,2025.955,15129,15123
"A*",Manhattan,./src/resources/graphes/g/gAlea123.g,0,0.012,711.179,2501.665,15129,12580
"A*",euclidienne,./src/resources/graphes/g/gAlea123.g,0,0.010,706.007,2748.974,15129,14359
"Dijsktra",aucune,./src/resources/graphes/g/gAlea124.g,0,0.012,690.765,1534.635,15376,12302
"A*",Manhattan,./src/resources/graphes/g/gAlea124.g,0,0.545,708.037,93.922,15376,319
"A*",euclidienne,./src/resources/graphes/g/gAlea124.g,0,0.037,690.765,1083.228,15376,4187
"Dijsktra",aucune,./src/resources/graphes/g/gAlea125.g,0,0.012,192.593,1621.359,15625,12510
"A*",Manhattan,./src/resources/graphes/g/gAlea125.g,0,0.421,200.936,121.689,15625,387
"A*",euclidienne,./src/resources/graphes/g/gAlea125.g,0,0.036,192.593,1172.459,15625,4277
"Dijsktra",aucune,./src/resources/graphes/g/gAlea126.g,0,0.012,200.421,1780.080,15876,12718
"A*",Manhattan,./src/resources/graphes/g/gAlea126.g,0,0.477,204.179,100.379,15876,327
"A*",euclidienne,./src/resources/graphes/g/gAlea126.g,0,0.024,200.421,1678.022,15876,6337
"Dijsktra",aucune,./src/resources/graphes/g/gAlea127.g,0,0.009,691.836,2218.073,16129,16120
"A*",Manhattan,./src/resources/graphes/g/gAlea127.g,0,0.012,697.007,2734.093,16129,12923
"A*",euclidienne,./src/resources/graphes/g/gAlea127.g,0,0.011,691.836,2960.355,16129,13971
"Dijsktra",aucune,./src/resources/graphes/g/gAlea128.g,0,0.012,695.007,1741.832,16384,13088
"A*",Manhattan,./src/resources/graphes/g/gAlea128.g,0,0.700,710.765,75.366,16384,247
"A*",euclidienne,./src/resources/graphes/g/gAlea128.g,0,0.045,695.007,1039.053,16384,3495
"Dijsktra",aucune,./src/resources/graphes/g/gAlea129.g,0,0.012,211.007,1894.570,16641,13314
"A*",Manhattan,./src/resources/graphes/g/gAlea129.g,0,0.340,212.421,155.015,16641,480
"A*",euclidienne,./src/resources/graphes/g/gAlea129.g,0,0.025,211.007,1769.956,16641,6517
"Dijsktra",aucune,./src/resources/graphes/g/gAlea13.g,0,0.194,549.485,0.439,169,108
"A*",Manhattan,./src/resources/graphes/g/gAlea13.g,0,0.333,549.485,0.801,169,63
"A*",euclidienne,./src/resources/graphes/g/gAlea13.g,0,0.323,549.485,1.555,169,65
"Dijsktra",aucune,./src/resources/graphes/g/gAlea130.g,0,0.010,715.836,2093.623,16900,16882
"A*",Manhattan,./src/resources/graphes/g/gAlea130.g,0,0.012,721.250,3044.825,16900,13497
"A*",euclidienne,./src/resources/graphes/g/gAlea130.g,0,0.011,715.836,3508.108,16900,15046
"Dijsktra",aucune,./src/resources/graphes/g/gAlea131.g,0,0.012,211.492,1895.126,17161,13689
"A*",Manhattan,./src/resources/graphes/g/gAlea131.g,0,0.676,218.078,78.821,17161,247
"A*",euclidienne,./src/resources/graphes/g/gAlea131.g,0,0.036,211.492,1423.301,17161,4398
"Dijsktra",aucune,./src/resources/graphes/g/gAlea132.g,0,0.011,201.321,1891.845,17424,13904
"A*",Manhattan,./src/resources/graphes/g/gAlea132.g,0,0.837,204.836,80.239,17424,196
"A*",euclidienne,./src/resources/graphes/g/gAlea132.g,0,0.037,201.321,1191.721,17424,4274
"Dijsktra",aucune,./src/resources/graphes/g/gAlea133.g,0,0.012,205.765,2372.274,17689,14016
"A*",Manhattan,./src/resources/graphes/g/gAlea133.g,0,0.618,215.421,96.745,17689,283
"A*",euclidienne,./src/resources/graphes/g/gAlea133.g,0,0.036,205.765,1334.393,17689,4695
